Month,City,Street,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Credit_Score,Has_Payday_Loan,Has_Credit_Builder_Loan,Has_Not_Specified_Loan,Has_Home_Equity_Loan,Has_Mortgage_Loan,Has_Personal_Loan,Has_Student_Loan,Has_Debt_Consolidation_Loan,Has_Auto_Loan,Has_Missing_Loan
May,Standhampton,Grove Street,43.0,Teacher,48948.57000000001,2411.584722333333,6.333333333333333,7.0,9.0,6.0,13.0,9.0,14.14,9.0,Standard,1732.6233333333332,33.763179556666664,15.722222222222221,Yes,3413.8286534400004,2,1,0,0,0,0,1,1,0,1,0
August,Lonton,Imperial Street,39.333333333333336,Journalist,52266.760000000024,3844.909876,6.666666666666666,6.0,11.0,3.0,15.0,21.0,15.32,3.666666666666667,Standard,140.69000000000005,35.23207683,21.055555555555554,Yes,64.45993025000001,3,0,0,0,1,1,0,0,1,0,0
Unknown,BadShire,Oak Street,21.666666666666664,Musician,52538.91333333333,4748.686667,9.0,8.333333333333334,26.0,8.0,34.0,16.0,9.083333333333334,13.666666666666668,_,2551.84,33.67125734,10.555555555555555,Yes,206.84000261,1,0,0,1,1,0,1,0,1,0,0
March,Standhampton,New Street,24.0,Journalist,33718.73000000001,2955.894167,7.0,6.0,6.0,1.0,11.0,14.0,4.383333333333333,3.0,Standard,1074.66,26.48308557,17.916666666666668,NM,318.8930495,2,1,0,0,0,0,0,0,0,0,0
January,BadShire,South Street,27.0,Student,69024.2,2306.4034723333334,9.0,7.0,22.666666666666668,7.0,37.0,25.0,2.750000000000001,11.0,Bad,4612.41,36.0918107,4.25,Yes,3360.2842083799997,1,1,0,1,1,1,0,1,1,1,0
July,Lonton,Unknown,21.0,Teacher,118462.56,9702.88,2.0,3.0,2.0,2.6666666666666665,14.0,8.0,6.379999999999999,5.0,_,822.9499999999999,43.41145604,28.583333333333332,No,414.0399215,3,1,0,0,0,1,0,0,0,0,0
January,Lonton,Oxford Street,40.666666666666664,Manager,19740.445000000007,2573.617916666667,1.0,5.0,1.0,1.0,4.0,5.666666666666664,6.926666666666667,0.0,_,413.00666666666666,33.02737563,24.666666666666668,No,78.53900042999999,3,0,0,1,0,0,0,0,0,0,0
August,Lonton,Imperial Street,39.0,Architect,74063.28,4104.301944333333,3.0,6.0,5.0,2.0,12.0,5.333333333333332,12.273333333333333,10.0,_,1040.09,36.09827395,18.333333333333332,Yes,453.3245941,3,1,0,0,0,0,0,0,0,1,0
Unknown,BadShire,Quality Street,38.333333333333336,Teacher,10943.535000000003,931.9612499999998,4.666666666666667,4.0,14.666666666666666,2.3333333333333335,4.0,18.0,6.88,2.0,Good,593.95,37.40514987666667,31.416666666666668,No,94.17952994000001,1,0,1,0,0,0,0,0,0,1,0
February,Unknown,Park Street,33.666666666666664,Cleaner,29936.79999999999,2302.733333,6.666666666666666,8.0,25.0,7.0,20.0,10.0,10.73,8.666666666666666,Bad,1257.4666666666667,31.89008928,12.416666666666666,NM,181.3989444,1,0,1,1,0,1,1,0,0,1,0
January,BadShire,Unknown,24.0,Student,125271.96,10374.330000000002,3.0,5.666666666666667,5.0,4.0,10.0,8.0,6.44,3.0,_,827.56,35.95804971,25.166666666666668,No,119.1346585,1,0,0,0,0,1,0,0,1,1,0
July,Standhampton,South Street,23.0,Unemployed,34297.89999999998,3120.1552776666667,9.0,8.0,22.0,8.0,46.33333333333333,17.0,22.30666666666667,10.666666666666668,_,4469.48,34.63110227666667,9.555555555555555,Yes,181.4927128,2,1,1,0,1,0,0,1,1,0,0
July,Standhampton,Imperial Street,29.666666666666668,Journalist,16481.419999999984,4979.869166333333,9.333333333333332,5.0,23.0,6.666666666666666,25.0,17.333333333333332,26.61333333333333,12.0,Bad,4418.26,34.16770139,12.555555555555557,Yes,168.4743772,2,0,0,0,1,1,0,1,0,1,0
March,Lonton,Abbey Drive,48.0,Engineer,129982.41,10653.8675,3.0,2.0,12.0,4.0,7.000000000000002,4.0,8.6,8.0,Good,395.78,31.22219677,19.305555555555557,No,244.8875097,3,0,1,1,0,1,0,1,0,0,0
July,Standhampton,Memory Street,35.0,Journalist,84132.12,3736.95625,3.0,6.0,5.0,1.0,18.0,14.0,10.15,3.0,Standard,559.19,23.72578561,30.583333333333332,NM,470.1078821,2,0,0,0,0,0,0,0,0,1,0
March,Lonton,Penny Lane,34.0,Doctor,55185.426666666666,5908.35,4.333333333333334,7.0,12.0,2.0,29.0,13.000000000000002,8.926666666666666,5.0,Good,870.47,25.17081281,25.833333333333336,NM,284.8733728333333,3,0,0,1,0,0,0,1,0,0,0
June,BadShire,Old Street,37.0,Architect,90093.42666666667,9156.496667,8.0,4.333333333333333,13.0,4.0,21.333333333333332,10.0,18.09,5.666666666666667,Standard,990.07,34.56788721666666,16.083333333333332,Yes,565.7438180666667,1,1,1,1,0,1,0,0,0,0,0
August,Standhampton,New Street,33.0,Journalist,16827.645000000004,1419.8265070000002,7.0,4.0,6.0,1.0,21.0,12.666666666666666,7.243333333333332,4.333333333333333,Standard,626.14,28.49424409,19.833333333333332,Yes,132.77662542333331,2,0,0,0,0,1,0,0,0,0,0
March,BadShire,River Street,35.333333333333336,Unknown,15671.959999999992,1380.218472,10.0,5.0,34.0,2.0,59.0,23.0,2.429999999999999,10.0,_,1885.3,27.37662396,12.833333333333334,Yes,83.51377439666675,1,0,0,0,0,0,0,0,0,0,1
June,BadShire,Old Street,39.0,Architect,77287.13333333333,4260.696666666667,0.0,5.0,6.0,0.0,12.0,1.9999999999999964,2.416666666666665,4.0,Good,646.89,31.58046633,24.5,No,228.43670329999998,1,0,0,0,0,0,0,0,0,0,1
January,BadShire,South Street,48.0,Artist,40021.11,3233.0925,3.0,5.0,8.0,1.333333333333333,3.0,9.0,3.4399999999999995,1.0,Good,148.4000000000001,28.4187747,18.25,No,10000.0,1,0,0,0,0,0,0,0,1,0,0
May,Standhampton,Unknown,31.0,Architect,132727.92,10954.66,4.0,7.0,5.0,1.0,4.0,6.666666666666668,17.66,5.333333333333333,Standard,1286.07,32.15048977,15.583333333333334,Yes,387.1128238,2,0,0,0,1,0,0,0,0,0,0
March,Lonton,Quality Street,33.0,Architect,35455.23000000001,2448.8156943333333,0.0,4.0,2.333333333333334,2.333333333333333,15.0,10.666666666666668,1.7799999999999994,4.0,Good,389.4666666666667,38.97856002,20.583333333333332,No,46.54253634000003,3,0,0,0,0,1,0,1,0,0,0
August,Standhampton,New Street,43.0,Journalist,85116.66666666666,5363.949444666667,4.0,6.0,11.0,3.0,16.0,10.666666666666664,2.95,4.0,Standard,1064.08,33.693576736666664,29.833333333333332,No,171.71142601666662,2,0,1,1,0,0,0,0,0,1,0
Unknown,Standhampton,Imperial Street,48.0,Journalist,85760.85,7172.7375,3.666666666666667,6.0,5.0,4.0,16.0,3.0,5.68,6.0,_,695.2,29.8588785,24.833333333333336,NM,686.664871,2,0,1,0,1,0,0,1,0,0,0
July,Standhampton,Unknown,44.33333333333333,Engineer,135550.88,11547.90667,1.333333333333333,3.0,9.0,3.0,8.0,9.0,8.986666666666666,3.0,Good,716.21,29.72270844333333,24.36111111111111,No,3559.963618833334,2,0,1,0,1,0,0,0,0,0,0
February,BadShire,Park Street,34.0,Cleaner,99125.49333333333,8176.6175,0.0,3.666666666666667,1.0,0.0,13.0,1.9999999999999964,2.16,2.0,Good,1496.8,23.76150963,22.25,No,568.6965776,1,0,0,0,0,0,0,0,0,0,1
January,BadShire,South Street,31.333333333333332,Student,18888.459999999992,1368.038333,8.0,6.333333333333333,18.0,7.0,50.0,22.0,15.41,9.0,Bad,1543.58,29.17757502,15.611111111111112,Yes,98.97121135666663,1,0,1,1,1,1,0,1,1,0,0
June,Standhampton,Imperial Street,35.0,Journalist,107761.29,9047.1075,6.0,4.666666666666667,9.0,1.333333333333333,22.0,417.0,13.56,1.0,Standard,694.3366666666666,35.41388387,17.5,Yes,189.8282636,2,0,0,0,0,0,0,0,0,0,1
May,BadShire,River Street,18.0,Cleaner,20083.059999999998,1856.588333,8.0,5.0,15.0,2.6666666666666665,19.0,18.333333333333336,7.36,11.666666666666668,Bad,2381.47,29.73432576,9.25,NM,3449.1585059966665,1,0,1,0,0,1,0,0,0,0,0
June,Standhampton,Imperial Street,43.0,Journalist,22479.476666666655,3199.256667,5.0,3.0,14.0,7.0,27.0,12.666666666666666,18.88,9.0,Standard,1336.02,39.09614939,16.75,Yes,169.31532776333336,2,0,1,1,1,0,0,0,0,1,0
Unknown,Standhampton,Fleet Street,47.0,Architect,129575.12,5269.821251,3.0,6.333333333333333,15.666666666666666,3.0,3.0,6.333333333333329,7.47,3.3333333333333335,Good,630.7233333333334,29.573758616666666,31.5,No,388.4079315,2,1,0,1,0,0,0,0,0,0,0
March,Lonton,Regent Street,33.0,Media_Manager,19553.804999999993,1465.4837499999999,1.0,1.0,11.666666666666666,3.6666666666666665,10.0,1.0,0.8666666666666671,0.0,Good,141.94000000000005,24.840325533333335,29.0,No,112.18064900000002,3,1,0,1,0,0,1,0,0,0,0
Unknown,BadShire,Lombard Street,33.666666666666664,Mechanic,90783.75,7727.3125,4.0,3.0,3.0,0.0,26.0,17.0,2.4800000000000004,5.0,Good,54.930000000000064,36.53390406333333,21.583333333333332,No,520.9739309,1,0,0,0,0,0,0,0,0,0,1
January,Standhampton,High Street,27.0,Teacher,13612008.0,5182.2129153333335,4.0,3.0,5.0,3.0,21.0,9.0,1.5999999999999996,4.0,Good,409.62,33.61634523,17.25,No,189.14439230000005,2,0,1,0,0,0,1,0,1,0,0
February,Standhampton,Fleet Street,16.0,Journalist,16157.790000000023,1159.4824999999996,4.333333333333334,4.0,9.0,5.0,9.0,13.000000000000002,6.266666666666666,5.0,Standard,1665.02,22.15294747,16.5,Yes,3442.6861378666667,2,1,0,0,0,1,1,1,0,0,0
April,BadShire,Old Street,38.0,Unknown,15159.906666666677,2427.846111,9.0,6.666666666666667,27.000000000000004,5.0,34.0,17.0,15.580000000000002,10.666666666666668,Bad,2708.73,25.21304813,8.916666666666666,Yes,52.85807464999999,1,0,1,1,1,0,1,0,0,1,0
April,BadShire,South Street,15.0,Farmer,30975.57666666666,694.0841666999995,6.0,7.0,19.666666666666668,5.666666666666667,15.666666666666668,15.0,12.66,9.0,Standard,2060.4333333333334,29.6508883,14.916666666666666,Yes,27.704734989999963,1,0,1,0,0,1,0,1,1,0,0
April,Unknown,High Street,29.666666666666668,Teacher,31936.050000000003,4872.894166666667,3.0,7.0,11.0,4.0,5.0,14.0,13.739999999999998,1.0000000000000009,Standard,1380.76,29.820210233333334,25.333333333333332,Yes,113.55444819999997,2,1,0,0,0,0,1,1,0,1,0
June,BadShire,Grove Street,23.0,Journalist,121223.96,2453.9330556666664,5.0,7.0,9.333333333333334,0.0,3.0,13.000000000000002,5.426666666666667,2.0,Good,335.6566666666665,26.025551,28.88888888888889,No,345.4175744,1,0,0,0,0,0,0,0,0,0,1
May,Standhampton,Pine Street,42.33333333333333,Architect,59758.56000000001,4439.9259723333325,5.0,7.0,10.333333333333332,3.3333333333333335,22.666666666666668,9.0,5.31,7.0,Standard,504.05999999999995,35.290586813333334,29.47222222222222,No,23.59267761000001,2,0,1,1,0,1,0,0,0,0,0
May,Standhampton,Pine Street,34.666666666666664,Journalist,34599.94,2942.328333,7.0,6.0,9.666666666666666,0.6666666666666665,10.333333333333334,8.0,6.8533333333333335,1.0,Standard,942.59,31.90693751,25.11111111111111,No,107.47465819999996,2,0,0,0,0,0,0,0,0,0,1
March,Standhampton,Memory Street,38.666666666666664,Teacher,1871092.313333333,7709.464166666667,0.0,6.0,8.0,0.33333333333333304,11.333333333333334,10.0,2.59,2.0,Good,448.95000000000005,31.59339602,23.333333333333336,No,322.0257116,2,0,0,0,0,0,0,0,0,0,1
April,BadShire,River Street,38.0,Unknown,20372.429999999993,1411.7024999999999,8.333333333333332,7.333333333333334,17.0,7.0,30.0,17.0,19.96,11.666666666666668,Bad,3460.0,38.83592567,3.3611111111111107,NM,57.68049128000001,1,1,0,1,1,1,1,1,0,0,0
February,BadShire,South Street,23.0,Mechanic,20252.78,1451.731667,7.0,8.0,28.0,7.0,53.0,16.0,27.509999999999998,13.0,Bad,4576.95,37.82449202,12.833333333333334,Yes,72.00460719,1,0,1,1,1,1,0,0,1,0,0
August,BadShire,Oak Street,23.0,Farmer,12727.953333333353,874.3475000000003,10.0,6.0,16.0,6.0,62.0,20.0,8.5,9.666666666666668,Bad,2143.45,31.96737959,14.555555555555555,Yes,51.28735869999997,1,1,0,1,1,0,0,1,0,0,0
May,BadShire,North Street,18.0,Unknown,38029.86,3032.155,10.0,9.0,21.666666666666664,5.0,16.0,20.0,29.72,12.0,_,2850.68,28.64879427,10.527777777777777,Yes,189.30545563333334,1,0,1,0,0,1,0,0,1,1,0
Unknown,Unknown,Queen Street,34.666666666666664,Artist,16012.64,1108.3866670000002,8.0,5.0,24.0,4.0,39.0,24.666666666666668,14.49,9.333333333333334,_,1527.67,30.99512571,17.583333333333332,Yes,120.72257179333332,1,0,1,0,0,0,1,0,0,0,0
February,Standhampton,Jubilee Street,38.0,Unknown,26405.149999999994,1911.429167,5.0,7.0,13.666666666666666,5.666666666666667,15.666666666666668,20.0,3.123333333333334,4.0,Standard,873.1100000000001,34.10396104,16.5,NM,163.3412966366667,2,1,1,0,1,1,0,0,0,0,0
April,Lonton,Market Street,38.0,Developer,33816.41,6741.081111333333,4.0,4.0,5.0,0.0,13.0,10.666666666666664,4.36,7.0,Good,308.05999999999995,33.604438019999996,18.0,No,149.47789815666664,3,0,0,0,0,0,0,0,0,0,1
August,Standhampton,Unknown,29.0,Architect,60326.28666666665,4499.118380333333,9.0,8.0,16.0,6.0,22.0,24.0,27.68,12.0,_,4649.87,39.61555631,7.25,Yes,26.623118310000052,2,1,1,0,1,0,0,1,1,0,0
July,BadShire,Fleet Street,27.0,Architect,68474.64,5546.108333333334,7.0,5.666666666666667,11.0,3.6666666666666665,12.666666666666668,8.0,9.57,7.0,Standard,66.02999999999997,35.13426779,7.416666666666668,Yes,286.7133536,1,1,0,1,0,0,1,0,0,0,0
August,Standhampton,Fleet Street,23.333333333333336,Architect,15286.160000000003,1383.8466670000003,6.666666666666666,9.0,20.333333333333332,7.0,37.0,17.666666666666668,25.58,10.0,Bad,2625.65,28.6873981,8.36111111111111,Yes,74.93967139,2,1,0,0,1,0,1,0,1,0,0
February,Lonton,London Street,33.0,Accountant,38539.57000000001,8696.86,4.0,4.333333333333333,5.333333333333332,1.0,10.333333333333334,971.3333333333334,8.42,3.666666666666667,_,526.62,35.35655601,24.055555555555557,No,285.2820709,3,0,0,0,0,1,0,0,0,0,0
May,BadShire,Unknown,45.0,Student,34081.78,1731.1691666666668,6.0,6.0,30.0,6.666666666666666,60.0,18.0,11.166666666666666,8.0,Bad,3118.0066666666667,24.43162301,7.75,NM,174.96159519999998,1,1,1,1,1,0,0,1,0,0,0
February,Unknown,River Street,33.333333333333336,Student,37467.17999999999,2920.265,6.0,8.333333333333334,20.0,6.0,36.0,18.0,6.34,8.0,Bad,2571.1499999999996,27.90952904,10.555555555555557,NM,268.9663922,1,1,0,0,0,0,1,1,0,1,0
January,BadShire,Unknown,28.0,Unknown,7711.540000000008,4020.9177776666666,8.0,7.0,24.0,8.333333333333334,67.0,20.0,17.27,6.0,Bad,3965.923333333333,32.03061717,2.583333333333334,NM,61.86382537666668,1,1,0,1,1,1,1,0,1,1,0
April,Lonton,Abbey Drive,34.333333333333336,Doctor,127491.48,10731.29,2.333333333333334,1.0,5.0,4.0,0.0,9.0,2.6500000000000004,2.0,_,563.31,29.41246062,23.0,NM,418.7268247,3,1,0,0,0,0,1,0,0,1,0
April,Standhampton,Park Street,25.0,Unemployed,49932.933333333334,3093.153333,10.0,5.0,19.0,7.0,44.0,22.333333333333332,3.2199999999999998,13.0,Bad,3084.2,35.1350915,14.25,Yes,163.4321051,2,1,1,1,0,0,0,1,0,0,0
June,Unknown,Old Street,29.666666666666664,Journalist,14996.235,3513.365,3.0,6.0,13.333333333333334,5.0,22.0,17.0,17.916666666666668,5.0,Standard,1100.64,35.21966576,13.833333333333334,Yes,28.848278203333336,2,0,0,0,1,1,1,0,1,1,0
Unknown,Lonton,Old Street,50.0,Teacher,67803.61333333333,2463.387723,6.0,6.0,5.666666666666666,3.0,27.0,17.0,7.2,5.0,Standard,349.8399999999999,28.830776486666668,19.583333333333332,No,63.91747350999998,3,0,0,1,1,0,0,0,0,1,0
April,BadShire,South Street,52.0,Farmer,37533.69666666667,3538.2825,3.0,4.0,4.0,4.0,30.0,12.0,8.786666666666667,4.666666666666666,Good,953.75,28.34482462,19.75,No,218.94570670666667,1,0,0,1,1,0,0,1,1,0,0
March,Unknown,Old Street,23.0,Journalist,39126.01000000001,4357.92,3.0,6.0,11.0,4.0,8.333333333333334,5.0,3.7299999999999995,1.0,Good,208.01999999999998,34.83143293,26.75,No,264.5195913,1,1,1,0,1,0,0,0,1,0,0
January,Lonton,Baker Street,27.0,Entrepreneur,137625.04,11731.753330000001,1.666666666666666,4.0,9.333333333333332,0.33333333333333304,14.0,12.0,10.24,4.0,Good,670.43,34.63539227,24.27777777777778,No,309.7636381,3,0,0,0,0,0,0,0,0,0,1
Unknown,BadShire,Queen Street,36.0,Mechanic,58599.48000000001,3721.1983333333333,7.0,5.0,30.0,5.0,40.66666666666667,15.333333333333334,16.02,12.666666666666664,Bad,2661.5733333333333,25.12124911,8.25,Yes,207.6609755,1,0,1,0,0,1,1,0,1,0,0
January,Standhampton,Memory Street,40.0,Journalist,110721.66,9703.58861,3.0,7.0,9.0,4.0,13.0,14.0,8.9,4.0,Standard,281.4200000000001,33.76007676,21.25,No,71.19273237333334,2,0,1,1,0,0,0,0,0,1,0
July,Lonton,Pine Street,20.0,Teacher,10037.5,2527.456666533333,10.0,9.0,24.666666666666668,7.666666666666666,28.0,26.0,15.43,8.0,Bad,4618.9,28.13934733,10.333333333333334,Yes,17.452161630000035,3,0,0,1,1,1,1,1,0,1,0
January,Standhampton,Jubilee Street,42.0,Journalist,18519.033333333326,1847.689167,4.0,5.666666666666667,19.0,2.0,15.0,9.0,16.5,7.0,Standard,335.03999999999996,35.11048919,19.583333333333332,NM,160.88109630000002,2,0,0,0,0,0,1,0,1,0,0
July,BadShire,Main Street,18.0,Musician,44418.54000000001,3361.558055666667,9.0,8.333333333333332,33.0,7.333333333333334,61.0,20.0,5.85,10.666666666666668,Bad,1340.46,27.985932183333333,8.333333333333334,Yes,100.13826062999999,1,0,1,1,1,0,1,1,1,1,0
April,Standhampton,Quality Street,34.0,Journalist,31820.559999999998,4495.621111,8.0,7.0,8.0,1.0,22.0,14.0,8.44,2.0,Standard,1394.06,32.02534681,25.583333333333332,Yes,298.45442739333333,2,0,0,0,0,0,1,0,0,0,0
March,Standhampton,Fleet Street,26.666666666666664,Teacher,28714.17333333334,1740.155833,8.0,5.0,18.0,5.0,15.0,20.0,17.91,6.0,Standard,1677.67,36.94317157,14.333333333333334,Yes,124.66788130000003,2,0,1,0,1,0,0,0,1,1,0
May,BadShire,River Street,26.0,Unknown,9283.169999999998,807.5974999999999,9.0,8.0,28.0,8.0,41.33333333333333,21.333333333333332,0.9499999999999993,12.0,Bad,1603.67,33.17688633,18.25,Yes,55.18299664666665,1,0,1,1,1,1,1,1,0,1,0
Unknown,BadShire,Main Street,23.666666666666664,Farmer,33414.80333333336,1441.231667,8.0,6.0,26.0,7.666666666666666,57.0,24.0,18.12,7.0,Bad,3773.5599999999995,31.63015756,2.9999999999999982,Yes,117.35027610000003,1,0,0,0,0,0,0,0,0,0,1
January,BadShire,Oak Street,21.0,Student,20090.020000000004,970.1297221333334,8.0,10.0,19.0,4.0,54.0,19.0,11.313333333333333,8.0,Bad,2329.28,29.12833687,6.166666666666668,NM,111.6851241,1,0,0,0,0,1,1,1,1,0,0
June,Standhampton,Memory Street,34.0,Unknown,85277.58666666667,8687.8,7.0,7.0,15.666666666666666,1.0,26.0,15.000000000000002,11.173333333333334,3.3333333333333335,_,544.14,33.69290665,30.083333333333332,Yes,430.4302818,2,0,0,0,0,0,1,0,0,0,0
February,BadShire,South Street,28.0,Unknown,20644.79999999999,1556.6844443333334,8.0,6.0,27.0,7.0,51.0,15.0,-0.6600000000000001,10.0,_,3025.1,39.57146559666666,12.0,Yes,212.5554985,1,0,1,0,1,1,1,0,1,0,0
July,Standhampton,Imperial Street,44.0,Architect,15341.895000000004,1035.49125,6.0,7.0,11.666666666666666,1.0,20.0,8.0,7.71,2.0,Standard,683.8333333333334,35.63107696666667,21.25,No,111.53317049999998,2,0,0,0,0,0,0,0,1,0,0
January,BadShire,Queen Street,35.333333333333336,Student,17086.73000000001,1157.8941670000004,8.0,5.0,19.333333333333332,3.0,17.0,11.0,17.67,5.0,Standard,2548.19,32.22529101,12.63888888888889,Yes,71.76464578999997,1,0,1,0,0,0,0,1,0,0,0
March,Unknown,High Street,53.0,Teacher,69886.64,1773.9058333333332,3.3333333333333335,3.333333333333333,3.0,1.333333333333333,10.0,1.0,7.52,2.0,Good,683.01,36.43528492666667,17.416666666666668,No,76.39515103000002,1,0,0,0,1,0,0,0,0,0,0
May,Unknown,Penny Lane,52.0,Entrepreneur,143351.28,12014.94,3.0,6.333333333333333,3.0,2.0,15.0,13.000000000000002,8.3,4.0,Good,996.96,31.66956968,21.97222222222222,NM,458.1479604,2,0,0,0,0,0,0,0,1,1,0
May,Standhampton,Old Street,39.333333333333336,Architect,35012.76666666666,2239.024167,4.0,6.0,12.0,0.0,17.0,16.0,7.64,1.333333333333333,Standard,1262.95,35.12354289,30.916666666666668,Yes,70.85434852000003,2,0,0,0,0,0,0,0,0,0,1
April,BadShire,Park Street,34.0,Mechanic,15185.649999999994,1329.4708329999999,8.0,9.0,27.0,3.3333333333333335,43.0,15.0,17.75,10.0,_,2921.616666666667,35.70367629333333,11.277777777777779,NM,291.6663462,1,1,0,0,0,0,0,0,1,1,0
May,BadShire,New Street,28.0,Teacher,68561.31,5594.4425,6.0,5.0,12.0,2.0,30.0,10.666666666666664,6.23,8.0,Standard,93.67000000000007,32.10797477,22.944444444444443,Yes,137.1569457,1,0,1,0,0,1,0,0,0,0,0
August,Lonton,Market Street,36.0,Accountant,32901.79000000001,2549.815833,1.666666666666666,4.0,1.0,0.0,14.333333333333334,9.0,5.89,0.0,_,427.6633333333333,33.32336538,26.5,No,55.86798891000001,3,0,0,0,0,0,0,0,0,0,1
June,BadShire,King Street,24.0,Unknown,7569.054999999993,650.7545832999999,6.0,9.0,24.0,2.0,45.0,17.0,3.1799999999999997,9.666666666666666,Bad,2691.71,31.80424116,12.666666666666666,Yes,59.54540499666666,1,1,0,0,0,0,0,0,1,0,0
June,Standhampton,Queen Street,30.0,Artist,35940.36,2781.03,6.0,7.0,23.0,6.0,55.0,12.0,2.29,12.0,Bad,1607.86,32.06078827333333,18.5,Yes,134.91021289999998,2,0,0,1,0,0,1,0,1,0,0
February,Standhampton,Unknown,29.666666666666664,Unemployed,50291.21999999999,2852.2469446666664,7.0,9.0,23.666666666666664,4.0,40.0,15.666666666666668,18.06,9.0,_,1696.44,25.48455866,8.916666666666666,Yes,67.20981561000002,2,1,0,1,0,0,0,0,0,1,0
January,Standhampton,Quality Street,39.0,Architect,171873.32,14285.776669999997,3.0,5.0,11.0,0.0,5.0,7.0,4.03,2.0,Good,932.23,36.71590573666667,28.583333333333332,No,776.1677043,2,0,0,0,0,0,0,0,0,0,1
March,Standhampton,Unknown,31.666666666666668,Architect,50050.56,1294.2177776666667,9.0,10.0,22.0,9.0,42.0,21.0,19.62,6.0,Bad,2913.45,28.78767975,10.999999999999998,NM,36.98616225000001,2,0,0,1,1,1,1,0,0,1,0
June,BadShire,Trafalgar Street,35.0,Artist,17680.790000000008,1329.399167,9.0,7.0,24.333333333333332,5.0,39.666666666666664,22.666666666666668,26.699999999999996,11.0,_,4894.42,28.78485291,6.833333333333332,Yes,76.00617565666664,1,0,0,0,0,0,0,0,0,0,1
April,Standhampton,Regent Street,43.0,Entrepreneur,17889.405,5919.491112333334,1.0,1.0,4.0,4.0,5.333333333333334,5.0,0.9299999999999997,7.0,_,1035.28,31.37633876,27.583333333333332,No,146.6631683766666,2,0,1,0,1,0,0,0,0,1,0
