Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Amount_invested_monthly,Credit_Score
38.0,95956.5,8279.375,8.0,4.0,11.0,2.0,23.0,10.0,11.94,2.0,1079.73,35.74006715,31.666666666666668,265.3115234,2
26.0,49967.01,4091.9175,7.0,6.0,31.0,6.0,27.0,11.0,19.87,11.0,2253.95,33.91270307,17.166666666666668,192.9207713,1
43.0,123732.32,10416.02667,4.0,3.0,11.0,0.0,15.0,8.0,12.92,3.0,1154.46,32.68645906,27.416666666666668,874.7145585,2
43.0,123732.32,10416.02667,4.0,3.0,11.0,0.0,15.0,8.0,11.92,3.0,1154.46,31.24192774,27.666666666666668,96.70297297,2
22.0,36822.29,3132.524167,8.0,7.0,6.0,4.0,14.0,19.0,5.79,4.0,125.25,23.33674451,24.75,259.7908045,2
25.0,80108.31,6866.6925,5.0,3.0,17.0,0.0,25.0,19.0,21.22,1.0,997.28,38.73267646,17.583333333333332,107.0656525,2
16.0,78988.48,6449.373333,9.0,5.0,29.0,7.0,27.0,17.0,15.27,9.0,1746.9,35.1549357,10.166666666666666,419.575712,1
45.0,41746.76,3651.896667,8.0,5.0,31.0,3.0,62.0,18.0,9.81,11.0,1936.79,30.25268542,19.416666666666668,42.79187097,2
21.0,19981.6,1459.133333,10.0,8.0,20.0,7.0,54.0,21.0,23.58,12.0,4834.59,29.04463822,10.25,35.92166782,1
22.0,19981.6,1459.133333,10.0,8.0,20.0,7.0,54.0,19.0,23.58,12.0,4834.59,38.9777452,10.583333333333334,42.4353362,2
19.0,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,17.0,19.92,2.0,1219.39,37.97265478,31.25,321.1426678,2
19.0,73737.36,5936.78,7.0,3.0,18.0,4.0,20.0,20.0,13.92,2.0,1219.39,26.38962385,31.5,188.5743324,2
45.0,118248.6,10115.05,5.0,1.0,4.0,0.0,13.0,7.0,-0.31,4.0,191.09,32.68206167,17.25,545.8997341,3
45.0,118248.6,10115.05,5.0,1.0,4.0,0.0,13.0,7.0,3.69,4.0,191.09,44.24642053,17.333333333333332,10000.0,3
45.0,118248.6,10115.05,5.0,1.0,4.0,0.0,18.0,13.0,3.69,8.0,191.09,29.42716484,17.666666666666668,614.4651135,3
18.0,75273.24,6552.77,8.0,6.0,32.0,5.0,50.0,10.0,12.8,6.0,2497.34,38.05213442,5.416666666666667,170.3151592,1
18.0,54820.89,4295.4075,8.0,7.0,28.0,6.0,36.0,20.0,18.42,8.0,4795.13,35.80248914,2.9166666666666665,479.5857747,2
42.0,58674.66,4824.555,8.0,5.0,15.0,4.0,59.0,23.0,6.29,11.0,2425.38,36.49072833,13.25,182.5464906,1
42.0,45207.54,3507.295,8.0,8.0,24.0,6.0,21.0,20.0,9.78,9.0,2497.48,26.63171974,16.333333333333332,39.83022939,1
47.0,18681.465,1584.78875,2.0,3.0,9.0,2.0,6.0,8.0,3.9,3.0,327.88,37.45520315,31.25,32.94987665,3
47.0,18681.465,1584.78875,2.0,3.0,9.0,2.0,6.0,6.0,3.9,3.0,327.88,39.53810864,31.333333333333332,10000.0,3
41.0,9841.34,690.1116667,8.0,9.0,31.0,5.0,65.0,15.0,29.52,8.0,4984.82,33.4598029,4.5,55.92433094,2
35.0,72330.98,6300.581667,0.0,3.0,11.0,1.0,1.0,6.0,4.62,1.0,596.78,24.83928335,33.25,301.2225183,3
19.0,34106.78,2767.231667,8.0,5.0,17.0,0.0,8.0,10.0,10.06,0.0,996.54,40.79135176,32.166666666666664,216.3654359,2
24.0,129067.59,10795.6325,1.0,3.0,1.0,4.0,9.0,5.0,1.54,0.0,137.15,24.49869173,26.583333333333332,215.2174879,3
34.0,17001.34,1214.778333,6.0,5.0,5.0,1.0,7.0,20.0,5.62,0.0,1093.87,36.06466979,17.583333333333332,51.24574815,2
21.0,44719.17,3969.5975,6.0,6.0,29.0,7.0,46.0,19.0,23.21,14.0,3818.57,29.38080624,13.5,115.7644921,1
42.0,103353.06,8527.755,3.0,3.0,6.0,1.0,4.0,9.0,3.11,2.0,1374.56,23.17084458,25.833333333333332,1043.873612,3
17.0,14841.35,1437.779167,6.0,5.0,17.0,7.0,60.0,16.0,27.64,6.0,3865.15,30.47438664,7.5,82.88833259,2
17.0,14841.35,1437.779167,6.0,5.0,17.0,7.0,60.0,16.0,27.64,6.0,3865.15,22.86545917,7.75,60.9873781,2
28.0,15398.95,1548.245833,1.0,7.0,5.0,4.0,1.0,0.0,8.41,8.0,343.84,37.71613993,28.5,10000.0,2
18.0,27070.07,2518.839167,7.0,3.0,11.0,4.0,12.0,15.0,5.68,6.0,919.76,34.06157477,29.25,314.0875747,2
18.0,27070.07,2518.839167,7.0,3.0,11.0,4.0,17.0,1106.0,5.68,6.0,919.76,29.8306522,29.333333333333332,104.1811039,2
55.0,139354.48,10872.26506,3.0,3.0,18.0,0.0,15.0,16.0,4.94,3.0,519.3,33.5673417,20.083333333333332,277.2957148,2
55.0,139354.48,10872.26506,3.0,3.0,18.0,0.0,15.0,16.0,4.94,3.0,519.3,37.06219362,20.166666666666668,899.2623909,3
55.0,139354.48,10872.26506,3.0,3.0,18.0,0.0,19.0,16.0,-1.06,3.0,519.3,40.87876031,20.333333333333332,737.8098216,3
56.0,139354.48,10872.26506,3.0,3.0,18.0,0.0,15.0,16.0,4.94,4.0,519.3,39.12793594,20.5,408.0045658,0
33.0,14205.09,1086.7575,7.0,10.0,21.0,8.0,33.0,19.0,19.42,16.0,4845.24,35.13626855,13.75,15.3362246,2
20.0,144881.68,11877.47333,3.0,4.0,15.0,4.0,5.0,13.0,13.1,2.0,404.51,39.2763797,26.0,990.2115188,2
38.0,108147.3,8926.275,3.0,6.0,6.0,4.0,14.0,20.0,7.57,2.0,1113.06,35.89139751,29.333333333333332,946.1555103,3
26.0,134321.44,11064.45333,3.0,5.0,12.0,4.0,26.0,19.0,11.09,3.0,1428.68,26.75528646,32.666666666666664,715.7040605,2
18.0,56803.71,4620.6425,7.0,5.0,25.0,6.0,51.0,26.0,16.23,11.0,2593.44,29.75653236,5.75,10000.0,2
55.0,19403.405,1904.950417,1.0,7.0,3.0,3.0,13.0,9.0,3.9,2.0,339.11,31.22930685,16.333333333333332,52.12810762,2
19.0,31122.79,2761.565833,7.0,5.0,12.0,0.0,28.0,20.0,9.75,2.0,358.6,32.51956159,22.916666666666668,57.2407224,2
24.0,20188.02,1851.335,4.0,3.0,6.0,3.0,9.0,6.0,8.31,0.0,399.92,31.3632289,20.25,35.50111934,2
54.0,41345.58,3260.465,0.0,5.0,10.0,0.0,7.0,0.0,6.42,7.0,646.47,32.69081341,28.416666666666668,36.94720504,1
32.0,55151.04,4704.92,10.0,6.0,23.0,6.0,29.0,19.0,10.64,9.0,1743.83,37.18200363,12.666666666666666,112.5496148,1
42.0,20005.22,1683.101667,8.0,3.0,6.0,4.0,22.0,22.0,21.33,8.0,1859.45,32.77031221,12.5,166.333815,2
32.0,19795.52,1662.626667,7.0,10.0,34.0,8.0,15.0,21.0,22.79,15.0,3135.02,27.57515856,2.4166666666666665,61.27863699,1
54.0,80396.86,6623.738333,5.0,7.0,9.0,0.0,8.0,11.0,10.47,0.0,1357.54,32.26751526,26.916666666666668,230.9764287,2
42.0,57610.32,4517.86,8.0,10.0,25.0,9.0,41.0,23.0,21.31,7.0,4428.64,37.0851965,1.6666666666666665,36.03012555,1
42.0,57610.32,4517.86,8.0,10.0,25.0,9.0,41.0,23.0,21.31,7.0,4428.64,24.53738087,1.8333333333333335,415.0140243,1
36.0,18717.02,1294.751667,8.0,5.0,15.0,5.0,11.0,18.0,10.3,10.0,2103.99,25.27099616,15.583333333333334,71.0085451,2
17.0,19163.22,1346.935,3.0,7.0,7.0,2.0,21.0,18.0,5.76,5.0,2226.37,31.19125771,16.333333333333332,167.8781191,2
17.0,19163.22,1346.935,3.0,7.0,7.0,2.0,25.0,18.0,2.76,5.0,2226.37,35.98159627,16.5,13.80248657,3
48.0,94554.87,7914.5725,2.0,6.0,2.0,0.0,9.0,0.0,2.24,3.0,1487.9,32.9629716,22.333333333333332,409.4268586,3
27.0,63536.98,5382.748333,4.0,5.0,12.0,2.0,29.0,16.0,14.78,4.0,89.62,40.06478712,31.25,151.0388705,2
27.0,63536.98,5382.748333,4.0,5.0,12.0,2.0,29.0,16.0,14.78,9.0,89.62,37.45884228,31.333333333333332,10000.0,2
15.0,27796.42,2300.368333,6.0,5.0,16.0,2.0,18.0,15.0,11.85,10.0,1073.94,27.45233024,27.583333333333332,34.56742202,2
30.0,132872.72,11203.72667,3.0,3.0,10.0,2.0,14.0,5.0,10.28,4.0,89.68,29.55005879,28.25,173.5108019,3
42.0,140014.36,11662.86333,3.0,7.0,18.0,4.0,27.0,9.0,3.9,3.0,1151.7,31.6712892,17.583333333333332,572.3308455,2
48.0,37071.2,3006.266667,1.0,6.0,6.0,4.0,14.0,3.0,11.56,3.0,869.99,39.63081461,18.583333333333332,276.8189914,3
44.0,126006.68,10693.55667,4.0,3.0,20.0,3.0,13.0,11.0,7.28,0.0,385.8,38.53472434,26.416666666666668,547.7266913,2
49.0,102885.32,8643.776667,3.0,5.0,16.0,1.0,11.0,13.0,10.31,4.0,605.34,22.39367942,28.833333333333332,857.7632224,2
49.0,102885.32,8643.776667,3.0,5.0,16.0,1.0,13.0,13.0,10.31,4.0,605.34,28.40696052,29.0,298.1439608,2
26.0,77418.52,6450.543333,7.0,9.0,20.0,7.0,38.0,21.0,20.05,6.0,3962.08,23.11099851,11.75,78.03120583,1
47.0,28587.29,2621.274167,4.0,1.0,7.0,0.0,4.0,2.0,3.22,1.0,1496.38,36.65870652,24.5,210.6243801,3
20.0,74647.4,6327.616667,6.0,5.0,20.0,6.0,52.0,17.0,26.16,13.0,4167.43,34.93632468,13.833333333333334,130.4682433,2
43.0,34766.06,3133.171667,0.0,1.0,11.0,3.0,4.0,6.0,5.71,0.0,1374.23,35.56142106,16.0,182.6155519,3
22.0,16852.635,1691.38625,4.0,6.0,9.0,0.0,27.0,13.0,19.68,6.0,775.22,32.78745821,29.083333333333332,114.6230507,2
20.0,33502.1,2890.841667,7.0,9.0,27.0,6.0,57.0,20.0,7.06,9.0,2362.68,32.80233908,18.0,191.2771121,2
27.0,91690.53,7795.8775,2.0,6.0,2.0,2.0,6.0,8.0,4.95,4.0,1295.18,26.44878055,31.5,653.4233342,3
20.0,30272.61,2258.7175,3.0,3.0,15.0,1.0,30.0,8.0,8.83,9.0,180.94,38.13742934,16.083333333333332,128.6410776,2
31.0,59971.42,5190.618333,8.0,5.0,6.0,3.0,11.0,18.0,0.52,0.0,203.03,36.61509401,20.416666666666668,81.93143455,2
32.0,42220.39,3490.365833,1.0,4.0,1.0,4.0,11.0,9.0,7.48,1.0,257.81,26.87244765,22.416666666666668,219.4359664,2
33.0,9444.795,850.06625,7.0,8.0,28.0,6.0,26.0,9.0,17.57,7.0,1701.58,35.18216454,5.416666666666667,28.49645707,2
33.0,9444.795,850.06625,7.0,8.0,28.0,6.0,26.0,11.0,12.57,7.0,1701.58,35.76303907,5.5,10000.0,1
33.0,9444.795,850.06625,7.0,8.0,28.0,6.0,31.0,11.0,17.57,7.0,1701.58,30.66682464,5.583333333333333,71.40615723,1
34.0,9444.795,850.06625,7.0,8.0,28.0,6.0,26.0,11.0,17.57,7.0,1701.58,38.81867456,5.833333333333333,62.5719184,1
37.0,68935.26,5518.605,1.0,5.0,8.0,3.0,14.0,3.0,2.25,4.0,457.81,36.50307552,25.75,162.8164817,3
42.0,31807.0,2733.583333,8.0,3.0,14.0,2.0,18.0,8.0,14.68,1.0,611.04,32.96827475,20.583333333333332,202.9485382,3
36.0,10025.2,1089.433333,10.0,10.0,21.0,7.0,23.0,14.0,16.88,12.0,1409.58,37.5870229,15.666666666666666,10000.0,1
30.0,9783.245,908.2704167,8.0,6.0,29.0,8.0,45.0,17.0,7.75,7.0,1684.06,26.63082669,18.916666666666668,84.64670068,1
21.0,124419.66,10221.305,3.0,4.0,11.0,4.0,13.0,9.0,7.12,0.0,923.85,32.05791074,31.916666666666668,338.6474398,2
21.0,124419.66,10221.305,3.0,4.0,11.0,4.0,13.0,8.0,12.12,0.0,923.85,25.89328065,32.0,153.5073452,3
50.0,15606.515,1234.542917,3.0,4.0,6.0,4.0,8.0,1.0,9.37,2.0,257.85,30.0612628,32.916666666666664,11.91253583,1
50.0,15606.515,1234.542917,3.0,4.0,6.0,4.0,7.0,1.0,9.37,2.0,257.85,31.79140125,33.166666666666664,35.99312572,1
24.0,28230.92,2184.576667,8.0,6.0,32.0,7.0,49.0,16.0,25.17,11.0,2989.13,34.11060485,7.083333333333333,186.0192201,2
24.0,28230.92,2184.576667,8.0,6.0,32.0,7.0,51.0,19.0,25.17,14.0,2989.13,33.96678141,7.333333333333333,71.01671964,2
28.0,10623.765,895.31375,6.0,3.0,18.0,3.0,7.0,12.0,16.39,7.0,181.68,32.99101556,15.666666666666666,21.04730907,2
20.0,33335.24,3059.936667,1.0,6.0,8.0,1.0,1.0,7.0,-1.93,4.0,1226.23,27.46252398,21.416666666666668,53.05852244,2
32.0,131577.84,11205.82,2.0,3.0,3.0,2.0,14.0,2.0,3.53,2.0,816.21,27.90074317,21.75,517.7554934,3
32.0,131577.84,11205.82,2.0,3.0,3.0,2.0,18.0,2.0,1.53,2.0,816.21,34.45628378,21.833333333333332,236.1538372,2
34.0,83703.52,6955.293333,6.0,9.0,27.0,8.0,25.0,18.0,28.02,10.0,4525.08,39.61509803,10.583333333333334,89.17149835,2
34.0,83703.52,6955.293333,6.0,9.0,27.0,8.0,31.0,20.0,28.02,10.0,4525.08,32.72518549,10.75,386.6270807,1
34.0,83703.52,6955.293333,6.0,9.0,27.0,8.0,26.0,17.0,34.02,10.0,4525.08,38.01860347,10.833333333333334,258.6665486,2
42.0,135895.96,11304.66333,8.0,4.0,6.0,0.0,12.0,17.0,7.45,1.0,429.77,34.87647096,18.416666666666668,226.8870458,3
22.0,29608.46,2625.371667,7.0,8.0,31.0,7.0,42.0,16.0,9.06,10.0,1286.07,33.71412081,15.416666666666666,23.71843397,1
51.0,110786.64,9299.22,4.0,6.0,5.0,3.0,12.0,15.0,8.68,2.0,226.7,28.25978529,24.5,312.5205277,2
34.0,120366.6,9888.55,4.0,7.0,2.0,4.0,9.0,8.0,0.8,6.0,1396.64,36.7312678,21.333333333333332,95.61296985,1
30.0,76087.68,6155.64,6.0,3.0,9.0,4.0,15.0,3478.0,13.73,2.0,50.22,24.91935151,21.833333333333332,436.6555754,2
31.0,76087.68,6155.64,6.0,3.0,9.0,4.0,14.0,10.0,13.73,2.0,50.22,23.51605846,21.916666666666668,181.9979988,2
31.0,76087.68,6155.64,6.0,3.0,9.0,4.0,14.0,7.0,13.73,2.0,50.22,29.26556351,22.0,133.77535,2
24.0,51824.94,4417.745,6.0,7.0,26.0,8.0,33.0,22.0,2.63,8.0,2958.02,33.65354736,7.833333333333333,121.3319704,2
31.0,11431.775,930.6479167,8.0,6.0,16.0,4.0,7.0,17.0,0.52,3.0,117.57,36.90859194,16.75,94.48374513,2
38.0,14224.655,1395.387917,8.0,6.0,13.0,1.0,27.0,10.0,8.1,1.0,1343.01,40.91960544,32.666666666666664,82.13893654,2
38.0,14224.655,1395.387917,8.0,6.0,13.0,1.0,26.0,8.0,8.1,5.0,1343.01,26.92566341,33.166666666666664,64.79572829,2
46.0,142170.12,11584.51,3.0,4.0,8.0,2.0,3.0,1.0,2.58,3.0,282.56,23.98679115,24.583333333333332,772.9155703,3
36.0,94454.1,8102.175,1.0,4.0,5.0,3.0,9.0,6.0,1.63,6.0,1342.61,28.68073668,30.166666666666668,445.9738225,3
28.0,27063.43,2455.285833,8.0,3.0,12.0,4.0,21.0,11.0,12.49,5.0,1205.36,38.60876781,22.5,292.9888628,2
44.0,36980.1,3352.675,6.0,10.0,29.0,6.0,49.0,14.0,9.55,12.0,2403.26,39.80353575,17.25,117.2598814,1
44.0,36980.1,3352.675,6.0,10.0,29.0,6.0,59.0,13.0,9.55,14.0,2403.26,39.98338495,17.666666666666668,129.7667313,2
26.0,96582.24,7886.52,3.0,3.0,13.0,1.0,9.0,13.0,19.79,0.0,482.88,40.76449784,25.583333333333332,223.2239756,2
39.0,122978.43,10514.2025,0.0,1.0,9.0,3.0,11.0,4.0,7.33,3.0,1197.33,33.62865374,28.25,945.3157293,3
40.0,122978.43,10514.2025,0.0,1.0,9.0,3.0,14.0,4.0,7.33,3.0,1197.33,35.04711677,28.333333333333332,76.87560345,2
23.0,30972.54,2431.045,7.0,9.0,16.0,2.0,59.0,15.0,18.91,10.0,2203.46,34.15679947,14.333333333333334,149.8917997,1
54.0,34547.54,2994.961667,6.0,6.0,5.0,1.0,19.0,10.0,1.59,1.0,939.31,27.16873401,22.5,10000.0,3
30.0,173196.32,14258.02667,4.0,7.0,9.0,1.0,8.0,5.0,6.06,4.0,967.23,38.55600111,28.666666666666668,138.6737202,3
30.0,173196.32,14258.02667,4.0,7.0,9.0,1.0,6.0,8.0,6.06,4.0,967.23,31.04374696,28.833333333333332,1607.303468,3
30.0,173196.32,14258.02667,4.0,7.0,9.0,1.0,7.0,5.0,6.06,4.0,967.23,32.95695675,28.916666666666668,548.2672981,3
30.0,173196.32,14258.02667,4.0,7.0,9.0,1.0,7.0,5.0,6.06,4.0,967.23,36.9904431,29.0,1563.512893,3
19.0,14089102.0,1403.2375,8.0,6.0,30.0,7.0,36.0,24.0,28.66,10.0,4288.63,41.2693593,2.25,61.89568273,2
15.0,8882.47,555.2058333,9.0,7.0,19.0,7.0,40.0,13.0,15.62,7.0,1580.91,32.40223901,19.5,12.65352944,2
26.0,34128.92,2740.076667,6.0,8.0,31.0,6.0,18.0,19.0,3.99,13.0,2626.28,35.29668548,6.0,170.7752011,1
33.0,26716.09,2372.340833,4.0,5.0,6.0,3.0,30.0,17.0,4.1,1.0,643.89,34.97426951,15.833333333333334,90.82554382,3
14.0,74733.44,5933.786667,9.0,6.0,19.0,5.0,17.0,20.0,22.48,9.0,4685.34,34.23841964,2.75,118.7467631,1
14.0,74733.44,5933.786667,9.0,6.0,19.0,5.0,17.0,18.0,22.48,12.0,4685.34,26.095717,2.9166666666666665,222.6676507,2
44.0,8681.77,647.4808333,6.0,9.0,23.0,7.0,47.0,24.0,24.6,12.0,2216.25,38.82494754,14.333333333333334,19.40893719,1
40.0,20540.49,1859.7075,0.0,4.0,8.0,1.0,3.0,0.0,7.09,2.0,1118.37,27.40953712,15.666666666666666,18.18591758,3
40.0,20540.49,1859.7075,0.0,4.0,8.0,1.0,3.0,3.0,7.09,2.0,1118.37,28.02889354,16.0,66.66293187,2
41.0,20540.49,1859.7075,0.0,4.0,8.0,1.0,3.0,3.0,5.09,2.0,1118.37,32.40135154,16.166666666666668,37.57726185,2
51.0,38175.39,3287.2825,1.0,2.0,7.0,3.0,1.0,8.0,11.81,2.0,315.36,30.02466312,27.916666666666668,68.03590698,3
48.0,24894.05,2371.504167,8.0,3.0,8.0,0.0,21.0,13.0,2.3,4.0,86.43,36.22204782,33.166666666666664,86.23276546,2
38.0,39399.9,3487.325,6.0,6.0,17.0,2.0,25.0,18.0,18.62,12.0,2206.86,29.45015859,11.666666666666666,87.35828461,1
25.0,142113.96,11903.83,6.0,4.0,17.0,3.0,21.0,12.0,18.1,9.0,1037.68,38.11568318,22.583333333333332,716.3027906,2
25.0,142113.96,11903.83,6.0,4.0,17.0,3.0,21.0,12.0,18.1,9.0,1037.68,36.41980579,22.666666666666668,442.2678835,2
25.0,142113.96,11903.83,6.0,4.0,17.0,3.0,21.0,12.0,18.1,9.0,1037.68,27.51389789,22.75,389.7518482,2
41.0,82289.36,6951.446667,8.0,8.0,22.0,5.0,25.0,18.0,15.75,11.0,4736.25,36.84779386,9.25,723.5645616,1
41.0,82289.36,6951.446667,8.0,8.0,22.0,5.0,29.0,16.0,18.75,12.0,4736.25,24.88499143,9.416666666666666,513.0982319,1
44.0,12016.0,729.3333333,6.0,3.0,14.0,3.0,27.0,10.0,15.23,0.0,583.27,31.32842058,30.333333333333332,40.7465063,2
50.0,19180.87,1688.405833,8.0,4.0,18.0,4.0,5.0,18.0,9.32,1.0,1127.57,25.77179741,24.75,81.82244884,2
40.0,44386.47,3703.8725,10.0,6.0,26.0,9.0,38.0,25.0,11.95,12.0,1275.46,30.27410217,9.5,105.8541452,2
18.0,31633.54,2930.128333,1.0,5.0,8.0,3.0,8.0,5.0,9.7,3.0,846.45,38.26046773,22.083333333333332,174.0000091,1
31.0,118172.64,9932.72,0.0,2.0,3.0,4.0,10.0,5.0,5.71,1.0,701.27,32.6998187,16.333333333333332,326.5767816,3
35.0,19623.18,1806.265,9.0,8.0,26.0,2.0,19.0,14.0,11.26,11.0,1369.54,24.87441534,7.833333333333333,35.51862546,2
32.0,63197.26,5042.438333,6.0,3.0,13.0,3.0,15.0,15.0,13.43,8.0,1435.94,24.14153939,23.75,480.9895412,2
32.0,63197.26,5042.438333,6.0,3.0,13.0,3.0,16.0,12.0,13.43,12.0,1435.94,40.22106488,24.166666666666668,190.2057837,2
27.0,121688.04,10006.67,7.0,3.0,12.0,4.0,20.0,15.0,0.66,4.0,54.68,40.18842138,26.083333333333332,119.4309876,2
21.0,31069.32,2361.11,2.0,3.0,12.0,2.0,9.0,2.0,7.78,7.0,343.6,38.87826934,19.416666666666668,10000.0,3
24.0,7612.725,928.39375,8.0,5.0,16.0,6.0,60.0,24.0,6.06,10.0,1514.74,25.61720755,8.416666666666666,65.42688294,2
48.0,16866.5,1615.541667,4.0,4.0,19.0,1.0,27.0,10.0,1.31,6.0,1385.89,40.31867625,28.666666666666668,10000.0,2
17.0,18784.88,1371.406667,8.0,3.0,26.0,7.0,5.0,21.0,17.08,10.0,2076.13,21.90731963,18.0,142.5593224,1
